Category         | Asset Type                          | Prefix     | Suffix       | Example
-----------------|-------------------------------------|------------|--------------|-------------------------
AI               | AI Controller                       | AIC_       |              | AIC_Example
AI               | Behavior Tree                       | BT_        |              | BT_Example
AI               | Blackboard                          | BB_        |              | BB_Example
AI               | Decorator                           | BTD_       |              | BTD_Example
AI               | Environment Query                   | EQS_       |              | EQS_Example
AI               | Environment Query Context           | EQS_       | _Context     | EQS_Example_Context
AI               | Service                             | BTS_       |              | BTS_Example
AI               | Task                                | BTT_       |              | BTT_Example
Animation        | Aim Offset                          | AO_        |              | AO_Example
Animation        | Aim Offset 1D                       | AO_        |              | AO_Example
Animation        | Animation Blueprint                 | ABP_       |              | ABP_Example
Animation        | Animation Composite                 | AC_        |              | AC_Example
Animation        | Animation Montage                   | AM_        |              | AM_Example
Animation        | Animation Notify                    | AN_        |              | AN_Example
Animation        | Animation Sequence                  | AS_        |              | AS_Example
Animation        | Blend Space                         | BS_        |              | BS_Example
Animation        | Blend Space 1D                      | BS_        |              | BS_Example
Animation        | Level Sequence                      | LS_        |              | LS_Example
Animation        | Morph Target                        | MT_        |              | MT_Example
Animation        | Paper Flipbook                      | PFB_       |              | PFB_Example
Animation        | Rig                                 | Rig_       |              | Rig_Example
Animation        | Skeletal Mesh                       | SK_        |              | SK_Example
Animation        | Skeleton                            | SKEL_      |              | SKEL_Example
Audio            | Attenuation                         |            | _ATT         | Example_ATT
Audio            | Dialogue Voice                      | DV_        |              | DV_Example
Audio            | Dialogue Wave                       | DW_        |              | DW_Example
Audio            | Media Sound Wave                    | MSW_       |              | MSW_Example
Audio            | Reverb Effect                       | Reverb_    |              | Reverb_Example
Audio            | Sound Attenuation                   | ATT_       |              | ATT_Example
Audio            | Sound Concurrency                   |            | _SC          | Example_SC
Audio            | Sound Cue                           | A_         | _Cue         | A_Example_Cue
Audio            | Sound Mix                           | Mix_       |              | Mix_Example
Audio            | Sound Wave                          | A_         |              | A_Example
Audio            | Soundscape Color                    | SC_        |              | SC_Example
Audio            | Soundscape Palette                  | SP_        |              | SP_Example
Blueprint        | Blueprint                           | BP_        |              | BP_Example
Blueprint        | Blueprint Component                 | BP_        | *            | BP_Example_AC
Blueprint        | Blueprint Function Library          | BPFL_      |              | BPFL_Example
Blueprint        | Blueprint Interface                 | BPL        |              | BPL_Example
Blueprint        | Blueprint Macro Library             | BPML_      |              | BPML_Example
Blueprint        | Enumerator                          | E          |              | EExample
Blueprint        | Structure                           | S          |              | SExample
Blueprint        | Tutorial Blueprint                  | TBP_       |              | TBP_Example
Datasmith        | Dataprep Asset                      | DPA_       |              | DPA_Example
Enhanced Input   | Input Action                        | IA_        |              | IA_Example
Enhanced Input   | Input Mapping Context               | IMC_       |              | IMC_Example
Gameplay         | Ability Set                         | AS_        |              | AS_Example
Gameplay         | Game Phase Abilities                | Phase_     |              | Phase_Example
Gameplay         | Gameplay Abilities                  | GA_        |              | GA_Example
Gameplay         | Gameplay Cue Notifies               | GCN_       |              | GCN_Example
